Player name,Appearances,Goals Overview,Wins,Losses,Clean sheets,Goals Conceded,Tackles,Tackle success,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork
Luke Ayling,71,2,25,33,13,127,188,56%,0,14,66,130,68,1,474,434,328,67,106,121,0,0,3,"3,865",54.44,10,118,18%,9,286,11,1,53,5,2,0,2,0,1
César Azpilicueta,335,10,188,69,115,325,842,70%,2,35,538,934,493,5,"1,646","1,683","1,199",93,592,461,3,1,35,"19,571",58.42,40,671,21%,29,721,33,2,308,17,10,2,8,0,3
Abdul Rahman Baba,15,0,6,6,2,13,47,83%,0,1,23,32,13,1,76,67,65,8,8,13,0,1,1,526,35.07,0,31,16%,0,18,1,0,14,2,0,0,0,0,0
Baba Fernandes,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Finley Back,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Loïc Badé,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Eric Bailly,70,1,44,11,24,56,102,70%,1,4,118,272,115,0,364,277,157,27,105,61,2,1,0,"2,329",33.27,0,2,2%,1,123,10,1,57,0,1,0,1,0,1
Stefan Bajcetic,1,0,1,0,0,0,0,0%,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,15,15,0,0,0%,0,1,0,0,0,0,0,0,0,0,0
Tudor Baluta,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Héctor Bellerín,183,8,99,47,59,189,242,76%,1,38,239,334,163,3,815,685,797,207,189,243,1,1,20,"8,141",44.49,32,434,17%,32,162,30,0,143,9,8,0,5,3,3
Ben Gibson,67,2,10,37,17,111,55,71%,3,5,84,373,192,2,246,214,165,22,116,110,0,1,1,"3,081",45.99,1,1,1%,0,244,8,1,33,1,2,1,1,0,0
Filip Benkovic,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Gaetano Berardi,2,0,2,0,0,0,2,100%,0,1,1,2,2,0,7,6,4,0,4,3,0,0,0,55,27.5,0,1,1%,0,2,0,0,1,0,0,0,0,0,0
Bernardo,39,0,9,19,2,49,99,68%,0,7,41,87,50,1,176,230,126,22,82,45,0,0,1,"1,189",30.49,3,53,19%,0,37,5,0,21,6,0,0,0,0,0
Ryan Bertrand,262,7,92,109,67,351,401,66%,2,34,362,434,207,4,990,"1,115","1,016",106,353,373,0,1,16,"10,013",38.22,30,904,21%,9,332,36,2,241,13,7,1,2,4,3
Bendegúz Bolla,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Mads Bech Sørensen,14,0,6,5,2,14,8,88%,0,2,7,25,8,0,41,22,14,0,10,4,0,0,0,438,31.29,0,10,30%,0,20,3,0,8,0,0,0,0,0,0
Owen Beck,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jan Bednarek,135,7,42,60,27,217,186,56%,2,7,314,668,339,4,716,642,440,9,404,221,3,3,3,"6,199",45.92,4,3,33%,3,315,27,1,118,1,7,3,2,2,0
Armel Bella-Kotchap,11,0,2,7,0,19,18,33%,2,1,26,53,27,1,75,60,22,2,24,12,0,0,1,414,37.64,1,3,3%,0,23,1,0,4,0,0,0,0,0,0
Héctor Bellerín,183,8,99,47,59,189,242,76%,1,38,239,334,163,3,815,685,797,207,189,243,1,1,20,"8,141",44.49,32,434,17%,32,162,30,0,143,9,8,0,5,3,3
Filip Benkovic,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Rhys Bennett,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Di'Shon Bernard,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ryan Bertrand,262,7,92,109,67,351,401,66%,2,34,362,434,207,4,990,"1,115","1,016",106,353,373,0,1,16,"10,013",38.22,30,904,21%,9,332,36,2,241,13,7,1,2,4,3
Owen Bevan,1,0,0,1,0,1,0,0%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Giulian Biancone,2,0,0,1,0,1,2,50%,0,0,1,0,0,0,5,4,0,0,2,0,0,0,0,18,9,0,1,1%,0,1,0,0,0,0,0,0,0,0,0
David Boateng,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Bendegúz Bolla,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Willy Boly,91,5,34,34,27,108,204,61%,1,11,158,402,241,0,485,566,307,29,303,142,0,0,2,"4,357",47.88,6,2,2%,2,184,7,2,76,5,5,3,1,0,1
Gaëtan Bong,51,0,11,24,11,73,56,75%,0,0,65,116,53,0,255,155,158,28,54,63,1,1,0,"1,401",27.47,0,116,14%,0,64,2,0,27,0,0,0,0,0,0
Sven Botman,13,0,8,0,4,8,14,64%,0,3,11,36,16,0,52,42,16,0,26,9,0,0,0,567,43.62,1,0,0%,0,43,0,0,5,0,0,0,0,0,1
Conor Bradley,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jarrad Branthwaite,10,1,1,7,1,20,12,67%,0,0,3,31,17,0,42,40,36,2,20,20,0,0,0,338,33.8,0,0,0%,0,18,0,1,7,0,1,0,1,0,0
Josh Brooking,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Joe Bryan,44,1,8,28,5,70,76,64%,0,10,45,81,39,0,163,177,132,29,37,40,0,1,1,"1,265",28.75,8,163,18%,2,59,7,0,35,2,1,1,0,0,1
Hugo Bueno,6,0,1,4,0,12,14,50%,0,2,5,16,10,0,26,24,18,3,3,4,0,0,1,143,23.83,1,18,39%,0,1,1,0,1,0,0,0,0,0,0
Dan Burn,114,2,39,36,29,128,179,60%,0,13,139,466,300,2,469,626,451,32,390,177,1,0,1,"4,646",40.75,5,93,20%,3,164,21,0,114,16,2,1,1,0,1
Finley Burns,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Gary Cahill,394,28,172,135,103,491,484,75%,18,66,465,"2,935","1,203",10,"1,505","2,032","1,089",71,"1,226",600,2,8,11,"13,464",34.17,8,23,17%,6,895,41,3,278,6,28,10,13,4,5
Duje Caleta-Car,7,0,1,4,1,9,6,67%,0,0,9,18,8,0,24,11,13,0,4,8,0,0,0,260,37.14,0,0,0%,0,15,1,0,5,0,0,0,0,0,0
Vontae Campbell,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Cardo Siddik Afraciab,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Cameron Carter-Vickers,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Kaelan Casey,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Matty Cash,79,4,30,38,20,105,185,56%,0,15,127,180,94,4,377,387,322,52,83,90,0,0,5,"2,637",33.38,5,213,23%,4,127,17,1,84,6,4,1,1,2,0
Timothy Castagne,68,4,30,24,16,87,147,55%,0,4,72,126,78,0,295,292,264,20,101,106,0,2,5,"2,998",44.09,7,116,24%,1,74,2,0,47,4,4,2,1,1,1
Cédric Soares,158,3,60,60,33,188,333,71%,1,25,178,365,157,3,707,606,577,63,142,241,0,6,13,"5,763",36.47,19,669,24%,5,323,22,0,103,11,3,0,2,1,1
Kallum Cesay,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Trevoh Chalobah,28,3,16,3,12,17,52,67%,1,1,27,67,33,1,114,123,88,11,46,41,1,1,1,"1,737",62.04,0,6,6%,3,63,3,0,23,0,3,2,1,0,1
Calum Chambers,165,7,59,66,33,197,287,69%,1,26,265,623,341,1,848,791,710,97,350,285,1,1,5,"7,046",42.7,10,248,18%,7,355,29,1,161,2,7,1,5,1,1
Ben Chilwell,142,11,64,46,38,145,214,60%,1,21,150,330,184,1,705,833,698,131,318,237,0,1,16,"6,524",45.94,15,521,18%,9,198,14,1,118,18,11,0,2,9,2
Andreas Christensen,93,0,50,22,29,89,99,53%,1,4,120,287,154,1,491,386,230,21,230,154,0,3,0,"5,588",60.09,2,1,100%,5,235,10,1,54,1,0,0,0,0,2
Christian Marques,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
CJ Egan-Riley,1,0,1,0,0,0,1,100%,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Matt Clarke,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Regan Clayton,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,222,4,92,75,61,260,518,68%,6,31,314,467,118,0,982,845,656,134,83,173,1,3,12,"8,999",40.54,15,512,19%,16,285,22,0,110,2,4,0,3,1,2
Conor Coady,166,6,62,62,47,195,141,60%,7,5,121,574,298,7,870,343,258,14,154,116,3,3,1,"7,798",46.98,3,3,33%,10,991,21,0,76,3,6,4,1,1,1
Séamus Coleman,337,21,135,108,90,351,588,76%,9,58,348,656,341,1,"1,605","1,548","1,323",420,232,257,5,5,24,"10,654",31.61,39,818,21%,12,429,33,2,222,31,21,8,8,6,7
Nathan Collins,31,2,6,16,8,43,51,43%,2,3,37,126,62,2,187,150,102,10,74,47,0,0,0,"1,260",40.65,3,3,33%,1,91,4,2,30,4,2,1,1,0,0
Levi Colwill,3,0,2,1,0,2,1,100%,0,0,5,3,2,0,9,8,3,0,7,2,0,0,0,75,25,0,0,0%,0,9,0,0,1,0,0,0,0,0,0
Liam Cooper,56,2,19,24,12,87,125,63%,0,2,124,192,88,0,328,376,211,7,205,122,0,0,1,"3,220",57.5,0,1,1%,1,170,10,1,46,3,2,2,0,0,0
Vladimír Coufal,71,0,31,25,14,88,132,53%,0,7,78,161,87,0,337,311,261,30,96,84,1,0,11,"2,589",36.46,13,280,21%,0,84,7,1,65,2,0,0,0,0,2
Tristan Crama,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Charlie Cresswell,5,0,2,2,0,4,5,40%,0,0,2,6,5,0,6,11,6,0,6,3,0,0,0,104,20.8,0,1,1%,0,4,1,0,3,1,0,0,0,0,0
Marc Cucurella,48,1,15,15,9,52,115,63%,1,7,37,80,36,3,301,233,167,33,47,44,0,0,3,"2,425",50.52,4,151,26%,5,71,8,0,38,4,1,0,0,1,0
Luciano D'Auria-Henry,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Stuart Dallas,72,9,26,31,16,119,167,60%,0,25,101,102,48,3,475,363,334,51,65,74,0,1,3,"3,313",46.01,8,183,20%,10,131,12,0,73,2,9,1,6,2,3
Craig Dawson,243,19,77,103,53,324,311,72%,4,42,397,"1,083",643,5,977,"1,272",893,44,773,446,3,1,4,"7,685",31.63,8,301,21%,5,586,41,2,242,14,19,14,3,1,7
Laurens De Bock,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
James Debayo,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Destiny Udogie,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,2,0,1,1,0,3,1,1%,0,1,1,2,2,0,14,4,5,0,3,3,0,0,0,125,62.5,0,1,1%,0,6,0,0,1,0,0,0,0,0,0
