Player name,Appearances,Goals overview,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success,Blocked shots,Interceptions,Clearances,Headed clearances,Recoveries,Duels won,Duels lost,Succesful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
Brenden Aaronson,14,1,4,7,1,0.07,0,1,0,0,0,19,4,21%,2,1,2,400,28.57,5,42,26%,3,5,2,0,8,3,24,25%,5,1,5,1,68,77,106,19,6,17,0
Tyler Adams,13,0,4,6,0,13,0,0,0,0,0,2,0,2%,0,0,0,742,57.08,1,2,2%,1,23,2,1,25,0,52,54%,1,16,11,2,104,75,62,2,10,7,0
Marc Albrighton,307,19,117,110,19,0.06,2,15,2,0,1,246,81,33%,6,15,44,"6,780",22.08,70,"1,787",20%,36,415,37,1,182,23,491,72%,83,292,204,60,"1,437","1,128","1,346",336,84,233,0
Allan,52,0,20,23,0,52,0,0,0,0,0,14,5,36%,0,0,2,"2,013",38.71,0,14,29%,2,97,13,1,67,0,154,58%,4,42,59,23,378,273,299,52,16,26,1
Charlie Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Dele Alli,194,51,103,53,51,0.26,9,32,10,3,0,337,134,40%,8,40,34,"6,211",32.02,48,92,14%,72,182,28,0,209,36,275,64%,87,146,124,71,864,937,"1,247",211,145,214,1
Miguel Almirón,125,17,44,46,17,0.14,0,3,14,0,0,177,60,34%,7,17,4,"2,860",22.88,9,138,21%,6,81,10,0,80,49,200,62%,64,86,53,18,575,513,494,133,28,71,1
Steven Alzate,43,1,10,18,1,0.02,0,1,0,0,0,21,6,29%,0,1,0,"1,272",29.58,1,11,36%,2,47,3,0,43,4,60,52%,10,32,28,19,160,157,162,49,20,37,0
André Gomes,88,1,34,36,1,0.01,0,1,0,0,0,54,12,22%,0,2,4,"3,203",36.4,4,57,26%,6,250,19,0,146,2,112,58%,17,38,41,23,479,366,545,108,83,67,0
Andreas Pereira,60,4,26,19,4,0.07,0,2,2,1,0,64,24,38%,0,2,8,"1,487",24.78,12,180,29%,3,66,13,0,59,6,44,59%,20,24,15,4,199,138,285,38,18,61,1
Frank Anguissa,58,0,8,35,0,58,0,0,0,0,0,55,14,25%,1,0,3,"2,459",42.4,4,15,33%,2,74,7,1,67,2,126,52%,19,90,43,25,339,393,359,138,85,70,0
Faustino Anjorin,1,0,1,0,0,1,0,0,0,0,0,1,0,1%,0,0,0,7,7,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,1,2,2,1,0,0,0
Keenan Appiah-Forson,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Billy Arce,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Joe Aribo,15,2,3,9,2,0.13,0,1,1,0,0,12,8,67%,0,1,0,306,20.4,2,6,6%,0,4,1,0,7,0,28,68%,4,5,10,9,58,74,78,13,23,31,0
Stuart Armstrong,131,15,42,60,15,0.11,1,10,4,0,0,183,55,30%,2,7,10,"3,431",26.19,9,137,23%,9,92,12,0,97,13,160,66%,59,58,70,32,495,464,575,151,48,85,0
Harry Arter,94,3,28,45,3,0.03,0,2,1,0,0,124,24,19%,5,2,5,"4,282",45.55,4,50,28%,16,326,32,1,91,2,221,73%,39,103,65,16,508,390,368,54,25,29,3
Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Miguel Azeez,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Tiemoué Bakayoko,29,2,18,6,2,0.07,1,0,1,0,0,40,9,23%,1,3,2,"1,108",38.21,1,5,20%,0,44,3,1,50,2,64,64%,17,37,36,22,169,164,155,36,40,36,2
Lewis Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
James Balagizi,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Kofi Balmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Scott Banks,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Shandon Baptiste,34,1,9,15,1,0.03,0,0,1,0,0,14,5,36%,0,0,0,476,14,2,13,31%,2,17,1,1,12,2,21,43%,6,16,18,11,94,76,77,23,10,24,0
Ross Barkley,232,29,102,71,29,0.12,4,17,8,2,2,458,134,29%,12,30,28,"8,533",36.78,39,390,24%,60,506,18,0,169,24,178,71%,159,82,114,88,842,"1,063","1,152",412,197,192,2
Harvey Barnes,125,28,54,46,28,0.22,0,19,9,0,0,256,104,41%,1,27,24,"2,625",21,18,152,12%,18,46,2,0,74,18,87,57%,74,26,26,11,350,438,575,153,95,147,0
Ryan Bartley,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Lewis Bate,3,0,1,2,0,3,0,0,0,0,0,1,0,1%,0,0,0,61,20.33,0,0,0%,0,3,0,0,3,0,1,1%,0,1,1,1,8,3,19,1,0,2,0
Ben Woodburn,6,0,5,1,0,6,0,0,0,0,0,2,0,2%,0,0,0,40,6.67,0,5,20%,0,0,0,0,2,0,4,75%,2,0,0,0,6,7,12,1,1,3,0
J'Neil Bennett,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Josh Benson,6,0,2,3,0,6,0,0,0,0,0,2,0,2%,0,0,0,79,13.17,0,5,5%,0,1,0,0,4,0,5,20%,1,3,2,1,18,10,22,2,2,5,0
Rodrigo Bentancur,31,4,19,9,4,0.13,0,3,1,0,0,26,9,35%,0,1,6,"1,691",54.55,6,25,28%,7,61,10,0,42,0,72,54%,7,38,46,25,192,155,136,32,33,28,0
Adrián Bernabé,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Bernardo Silva,180,31,138,22,31,0.17,2,3,26,0,0,228,89,39%,6,25,33,"7,950",44.17,40,310,18%,21,258,20,0,119,15,220,58%,74,103,70,21,690,628,708,227,50,114,0
Muhamed Besic,46,0,14,17,0,46,0,0,0,0,0,26,7,27%,1,0,0,"1,339",29.11,2,18,22%,3,116,11,0,42,0,93,76%,7,34,56,26,154,186,165,53,21,16,1
Mads Bidstrup,4,0,2,1,0,4,0,0,0,0,0,0,0,0%,0,0,0,13,3.25,0,0,0%,0,0,0,0,1,0,1,1%,0,1,2,1,3,1,5,0,0,0,0
Yves Bissouma,126,3,40,50,3,0.02,0,3,0,0,0,115,18,16%,2,3,2,"4,612",36.6,4,24,17%,12,185,30,1,166,2,300,64%,30,176,162,90,693,664,534,169,99,88,1
Adrian Blake,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Oscar Bobb,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Lamare Bogarde,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Mateusz Bogusz,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Luke Bolton,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ben Woodburn,6,0,5,1,0,6,0,0,0,0,0,2,0,2%,0,0,0,40,6.67,0,5,20%,0,0,0,0,2,0,4,75%,2,0,0,0,6,7,12,1,1,3,0
Rodrigo Bentancur,31,4,19,9,4,0.13,0,3,1,0,0,26,9,35%,0,1,6,"1,691",54.55,6,25,28%,7,61,10,0,42,0,72,54%,7,38,46,25,192,155,136,32,33,28,0
Bernardo Silva,180,31,138,22,31,0.17,2,3,26,0,0,228,89,39%,6,25,33,"7,950",44.17,40,310,18%,21,258,20,0,119,15,220,58%,74,103,70,21,690,628,708,227,50,114,0
Mads Bidstrup,4,0,2,1,0,4,0,0,0,0,0,0,0,0%,0,0,0,13,3.25,0,0,0%,0,0,0,0,1,0,1,1%,0,1,2,1,3,1,5,0,0,0,0
Philip Billing,92,7,20,53,7,0.08,1,0,6,0,0,95,25,26%,3,2,2,"2,969",32.27,6,95,14%,3,144,19,0,100,8,203,61%,26,147,167,102,463,577,452,54,250,134,1
Yves Bissouma,126,3,40,50,3,0.02,0,3,0,0,0,115,18,16%,2,3,2,"4,612",36.6,4,24,17%,12,185,30,1,166,2,300,64%,30,176,162,90,693,664,534,169,99,88,1
Oscar Bobb,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Lamare Bogarde,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Mateusz Bogusz,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jamie Bowden,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Josh Bowler,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Robert Brady,160,10,45,81,10,0.06,0,3,7,2,1,170,46,27%,7,1,13,"3,619",22.62,25,767,26%,14,218,18,1,136,14,261,73%,59,144,238,115,652,653,647,140,154,131,3
Sammy Braybrooke,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
David Brooks,39,8,14,19,8,0.21,1,0,7,0,0,47,22,47%,3,8,5,"1,008",25.85,9,57,25%,16,25,4,0,19,2,43,72%,11,26,23,3,128,138,192,36,8,38,0
Bruno Fernandes,100,38,51,21,38,0.38,2,33,3,13,1,280,108,39%,9,22,26,"5,403",54.03,46,425,24%,53,341,23,0,104,16,159,53%,87,65,96,54,491,407,557,72,46,107,1
Bruno Guimarães,29,8,19,5,8,0.28,2,6,0,0,0,33,16,48%,0,2,3,"1,131",39,4,17,35%,13,83,5,0,30,4,75,49%,8,24,19,4,186,184,153,32,8,13,0
Bruno Jordão,1,0,0,1,0,1,0,0,0,0,0,0,0,0%,0,0,0,6,6,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,2,0,0,0,0,0,0
Lewis Brunt,1,0,0,1,0,1,0,0,0,0,0,0,0,0%,0,0,0,21,21,0,0,0%,0,1,0,0,0,0,0,0%,0,0,0,0,2,1,3,1,0,1,0
Emiliano Buendía,86,6,21,50,6,0.07,1,4,1,0,0,101,28,28%,1,4,13,"2,606",30.3,19,209,22%,41,141,7,1,65,6,143,46%,33,37,37,17,346,460,492,147,57,101,2
Nathan Butler-Oyedeji,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Maliq Cadogan,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Cafú,1,0,1,0,0,1,0,0,0,0,0,0,0,0%,0,0,0,2,2,0,0,0%,0,0,0,0,0,0,0,0%,0,0,1,1,1,0,0,0,0,0,0
Moisés Caicedo,22,2,11,6,2,0.09,0,2,0,0,0,21,8,38%,1,0,1,"1,029",46.77,1,9,44%,7,40,6,0,37,1,59,49%,9,29,15,5,138,127,91,11,25,13,0
Jake Cain,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Tom Cairney,67,3,13,40,3,0.04,0,0,3,0,0,53,12,23%,2,0,2,"2,661",39.72,7,107,26%,11,154,3,0,26,1,72,56%,19,33,23,5,277,250,177,75,26,29,0
Todd Cantwell,45,6,6,33,6,0.13,0,5,1,0,0,47,16,34%,0,3,2,"1,216",27.02,1,27,4%,7,35,8,0,37,5,66,67%,14,21,30,6,170,217,226,54,23,43,1
Cesare Casadei,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Casemiro,11,1,7,2,1,0.09,1,0,0,0,0,9,3,33%,0,1,1,493,44.82,2,9,22%,2,36,2,0,20,0,35,46%,2,13,21,16,58,70,48,3,23,11,0
Kgaogelo Chauke,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Daniel Chesters,1,0,0,1,0,1,0,0,0,0,0,0,0,0%,0,0,0,0,1,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Tahith Chong,5,0,3,1,0,5,0,0,0,0,0,3,1,33%,0,1,0,29,5.8,0,0,0%,0,0,0,0,2,0,0,0%,1,0,1,0,2,5,7,2,0,2,0
