Player name,Appearances,Goals,Wins,Losses,Goals.1,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed clearances,Recoveries,Duels won,Duels lost,Succesful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
Frank Anguissa,58,0,8,35,0,0.0,0,0,0,0,0,55,14,25%,1,0,3,"2,459",42.40,4,15,33%,2.0,74,7.0,1.0,67,2,126.0,52%,19.0,90.0,43.0,25.0,339,393,359,138.0,85.0,70.0,0.0
Faustino Anjorin,1,0,1,0,0,0.0,0,0,0,0,0,1,0,0%,0,0,0,7,7.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,1,2,2,1.0,0.0,0.0,0.0
Jaidon Anthony,10,2,3,4,2,0.2,1,1,0,0,0,6,5,83%,0,0,0,86,8.60,0,5,0,0.0,1,1.0,6.0,1,0,5.0,5,,,,,,,,,,,
Michail Antonio,209,58,80,80,58,0.28,21,28,10,1,0,458,174,38%,20,53,28,"3,834",18.34,32,419,24,2.0,240,94.0,153.0,111,136,147.0,75,,,,,,,,,,,
Antony,6,3,3,1,3,0.5,0,0,3,0,0,20,9,45%,1,0,0,208,34.67,0,11,1,0.0,2,0.0,8.0,5,3,1.0,0,,,,,,,,,,,
Paul Appiah,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Keenan Appiah-Forson,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Billy Arce,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Cameron Archer,9,0,3,5,0,0.0,0,0,0,0,0,1,0,0%,0,0,0,15,1.67,0,1,0,0.0,5,1.0,0.0,1,0,0.0,0,,,,,,,,,,,
Alphonse Aréola,39,9,5,21,118,0.0,27,23,5,5,179,275,9,51,2,0,2,0,1,0,0,913,23.41,177,,,,,,,,,,,,,,,,,
Joe Aribo,15,2,3,9,2,0.13,0,1,1,0,0,12,8,67%,0,1,0,306,20.40,2,6,0%,0.0,4,1.0,0.0,7,0,28.0,68%,4.0,5.0,10.0,9.0,58,74,78,13.0,23.0,31.0,0.0
Stuart Armstrong,131,15,42,60,15,0.11,1,10,4,0,0,183,55,30%,2,7,10,"3,431",26.19,9,137,23%,9.0,92,12.0,0.0,97,13,160.0,66%,59.0,58.0,70.0,32.0,495,464,575,151.0,48.0,85.0,0.0
Kepa Arrizabalaga,86,29,45,24,186,1.0,25,38,12,33,397,568,29,101,3,0,3,0,0,0,0,"2,435",28.31,398,,,,,,,,,,,,,,,,,
Harry Arter,94,3,28,45,3,0.03,0,2,1,0,0,124,24,19%,5,2,5,"4,282",45.55,4,50,28%,16.0,326,32.0,1.0,91,2,221.0,73%,39.0,103.0,65.0,16.0,508,390,368,54.0,25.0,29.0,3.0
Arthur,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Harrison Ashby,1,0,0,1,0,1.0,0,0%,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,6.0,0.0,0,0%,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Ryan Astley,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Pierre-Emerick Aubameyang,134,69,63,43,69,0.51,4,53,12,9,1,316,144,46%,12,52,16,"2,699",20.14,19,200,9,1.0,58,80.0,80.0,76,34,59.0,19,,,,,,,,,,,
Ludwig Augustinsson,2,0,1,0,0,0.0,1,100%,0,0,0,1,1,0,6,6,3,0,4,1,0,0,0.0,16,8.0,0.0,1,0%,0.0,1,1.0,0.0,1.0,0.0,0,0,0,0.0,0.0,,
Sèrge Aurier,84,5,42,21,18,84.0,240,65%,1,11,110,211,129,0,424,563,459,81,179,152,1,1,12.0,"3,317",39.49,17.0,281,17%,3.0,90,5.0,2.0,105.0,10.0,5,2,2,1.0,0.0,,
Brandon Austin,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,
Zach Awe,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Taiwo Awoniyi,13,3,2,8,3,0.23,1,2,0,0,0,15,6,40%,2,6,0,92,7.08,1,1,0,0.0,6,7.0,5.0,0,1,7.0,4,,,,,,,,,,,
Jordan Ayew,215,29,58,105,29,0.13,5,19,5,2,0,289,97,34%,8,19,16,"4,533",21.08,17,267,25,2.0,324,49.0,338.0,102,110,89.0,55,,,,,,,,,,,
Luke Ayling,71,2,25,33,13,127.0,188,56%,0,14,66,130,68,1,474,434,328,67,106,121,0,0,3.0,"3,865",54.44,10.0,118,18%,9.0,286,11.0,1.0,53.0,5.0,2,0,2,0.0,1.0,,
Miguel Azeez,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
César Azpilicueta,335,10,188,69,115,325.0,842,70%,2,35,538,934,493,5,"1,646","1,683","1,199",93,592,461,3,1,35.0,"19,571",58.42,40.0,671,21%,29.0,721,33.0,2.0,308.0,17.0,10,2,8,0.0,3.0,,
Abdul Rahman Baba,15,0,6,6,2,13.0,47,83%,0,1,23,32,13,1,76,67,65,8,8,13,0,1,1.0,526,35.07,0.0,31,16%,0.0,18,1.0,0.0,14.0,2.0,0,0,0,0.0,0.0,,
Baba Fernandes,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Finley Back,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Loïc Badé,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Leon Bailey,32,4,10,19,4,0.13,0,0,4,0,0,38,14,37%,3,1,4,376,11.75,6,81,7,0.0,27,9.0,23.0,12,3,5.0,4,,,,,,,,,,,
Eric Bailly,70,1,44,11,24,56.0,102,70%,1,4,118,272,115,0,364,277,157,27,105,61,2,1,0.0,"2,329",33.27,0.0,2,0%,1.0,123,10.0,1.0,57.0,0.0,1,0,1,0.0,1.0,,
Stefan Bajcetic,1,0,1,0,0,0.0,0,0%,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0.0,15,15.0,0.0,0,0%,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Tiemoué Bakayoko,29,2,18,6,2,0.07,1,0,1,0,0,40,9,23%,1,3,2,"1,108",38.21,1,5,20%,0.0,44,3.0,1.0,50,2,64.0,64%,17.0,37.0,36.0,22.0,169,164,155,36.0,40.0,36.0,2.0
Lewis Baker,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
James Balagizi,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Ellery Balcombe,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,
Dominic Ballard,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,,,,,,,,,,,
Kofi Balmer,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Folarin Balogun,2,0,0,2,0,0.0,0,0,0,0,0,3,0,0%,0,0,0,9,4.50,0,0,0,0.0,0,1.0,1.0,0,0,1.0,1,,,,,,,,,,,
Tudor Baluta,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Patrick Bamford,84,20,25,42,20,0.24,3,2,15,2,0,161,68,42%,5,34,10,864,10.29,8,15,6,0.0,68,33.0,39.0,29,18,56.0,38,,,,,,,,,,,
Scott Banks,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Shandon Baptiste,34,1,9,15,1,0.03,0,0,1,0,0,14,5,36%,0,0,0,476,14.00,2,13,31%,2.0,17,1.0,1.0,12,2,21.0,43%,6.0,16.0,18.0,11.0,94,76,77,23.0,10.0,24.0,0.0
Ross Barkley,232,29,102,71,29,0.13,4,17,8,2,2,458,134,29%,12,30,28,"8,533",36.78,39,390,24%,60.0,506,18.0,0.0,169,24,178.0,71%,159.0,82.0,114.0,88.0,842,"1,063","1,152",412.0,197.0,192.0,2.0
Harvey Barnes,125,28,54,46,28,0.22,0,19,9,0,0,256,104,41%,1,27,24,"2,625",21.00,18,152,12%,18.0,46,2.0,0.0,74,18,87.0,57%,74.0,26.0,26.0,11.0,350,438,575,153.0,95.0,147.0,0.0
Louie Barry,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,,,,,,,,,,,
Ryan Bartley,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Lewis Bate,3,0,1,2,0,0.0,0,0,0,0,0,1,0,0%,0,0,0,61,20.33,0,0,0%,0.0,3,0.0,0.0,3,0,1.0,0%,0.0,1.0,1.0,1.0,8,3,19,1.0,0.0,2.0,0.0
Michy Batshuayi,77,15,41,26,15,0.19,1,8,6,0,0,84,31,37%,1,12,4,584,7.58,2,8,0,0.0,36,40.0,18.0,24,10,10.0,8,,,,,,,,,,,
Nathan Baxter,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,
Gavin Bazunu,15,1,3,9,38,0.0,8,16,1,8,70,108,1,27,0,0,0,0,0,0,0,514,34.27,134,,,,,,,,,,,,,,,,,
Mads Bech Sørensen,14,0,6,5,2,14.0,8,88%,0,2,7,25,8,0,41,22,14,0,10,4,0,0,0.0,438,31.29,0.0,10,30%,0.0,20,3.0,0.0,8.0,0.0,0,0,0,0.0,0.0,,
Owen Beck,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Jan Bednarek,135,7,42,60,27,217.0,186,56%,2,7,314,668,339,4,716,642,440,9,404,221,3,3,3.0,"6,199",45.92,4.0,3,33%,3.0,315,27.0,1.0,118.0,1.0,7,3,2,2.0,0.0,,
Asmir Begovic,256,63,82,106,765,3.0,91,400,138,181,"1,029","2,352",63,357,27,0,12,0,5,1,0,"5,595",21.86,"1,970",,,,,,,,,,,,,,,,,
Armel Bella-Kotchap,11,0,2,7,0,19.0,18,33%,2,1,26,53,27,1,75,60,22,2,24,12,0,0,1.0,414,37.64,1.0,3,0%,0.0,23,1.0,0.0,4.0,0.0,0,0,0,0.0,0.0,,
Héctor Bellerín,183,8,99,47,59,189.0,242,76%,1,38,239,334,163,3,815,685,797,207,189,243,1,1,20.0,"8,141",44.49,32.0,434,17%,32.0,162,30.0,0.0,143.0,9.0,8,0,5,3.0,3.0,,
Ben Woodburn,6,0,5,1,0,0.0,0,0,0,0,0,2,0,0%,0,0,0,40,6.67,0,5,20%,0.0,0,0.0,0.0,2,0,4.0,75%,2.0,0.0,0.0,0.0,6,7,12,1.0,1.0,3.0,0.0
Filip Benkovic,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
J'Neil Bennett,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,,,,,,,,,,,
Saïd Benrahma,75,11,32,29,11,0.15,1,10,0,1,0,127,43,34%,4,8,13,"1,508",20.11,11,144,0,0.0,26,14.0,60.0,40,20,14.0,3,,,,,,,,,,,
Rodrigo Bentancur,31,4,19,9,4,0.13,0,3,1,0,0,26,9,35%,0,1,6,"1,691",54.55,6,25,28%,7.0,61,10.0,0.0,42,0,72.0,54%,7.0,38.0,46.0,25.0,192,155,136,32.0,33.0,28.0,0.0
Christian Benteke,280,86,87,129,86,0.31,33,41,12,10,1,654,255,39%,20,95,22,"6,539",23.35,33,39,39,4.0,408,227.0,98.0,134,32,286.0,209,,,,,,,,,,,
Lucas Bergström,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,
Steven Bergwijn,60,7,33,17,7,0.12,0,7,0,0,0,43,20,47%,1,8,5,825,13.75,2,31,6,0.0,36,2.0,28.0,8,7,19.0,2,,,,,,,,,,,
Di'Shon Bernard,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Bernardo Silva,180,31,138,22,31,0.17,2,3,26,0,0,228,89,39%,6,25,33,"7,950",44.17,40,310,18%,21.0,258,20.0,0.0,119,15,220.0,58%,74.0,103.0,70.0,21.0,690,628,708,227.0,50.0,114.0,0.0
Ryan Bertrand,262,7,92,109,67,351.0,401,66%,2,34,362,434,207,4,990,"1,115","1,016",106,353,373,0,1,16.0,"10,013",38.22,30.0,904,21%,9.0,332,36.0,2.0,241.0,13.0,7,1,2,4.0,3.0,,
Marcus Bettinelli,7,0,1,4,20,1.0,8,1,1,5,32,67,0,20,0,0,1,0,0,0,0,211,30.14,66,,,,,,,,,,,,,,,,,
Owen Bevan,1,0,0,1,0,1.0,0,0%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,3,3.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Giulian Biancone,2,0,0,1,0,1.0,2,50%,0,0,1,0,0,0,5,4,0,0,2,0,0,0,0.0,18,9.0,0.0,1,0%,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Mads Bidstrup,4,0,2,1,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,13,3.25,0,0,0%,0.0,0,0.0,0.0,1,0,1.0,0%,0.0,1.0,2.0,1.0,3,1,5,0.0,0.0,0.0,0.0
Mika Biereth,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,,,,,,,,,,,
Philip Billing,92,7,20,53,7,0.08,1,0,6,0,0,95,25,26%,3,2,2,"2,969",32.27,6,95,14%,3.0,144,19.0,0.0,100,8,203.0,61%,26.0,147.0,167.0,102.0,463,577,452,54.0,250.0,134.0,1.0
Nathan Bishop,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,
Yves Bissouma,126,3,40,50,3,0.02,0,3,0,0,0,115,18,16%,2,3,2,"4,612",36.60,4,24,17%,12.0,185,30.0,1.0,166,2,300.0,64%,30.0,176.0,162.0,90.0,693,664,534,169.0,99.0,88.0,1.0
Harvey Blair,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,,,,,,,,,,,
David Boateng,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Oscar Bobb,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Lamare Bogarde,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
